fold,direction,target_prec,k,units,frac_units_with_alert,frac_units_with_hit,hit_rate_given_alert,frac_units_with_mover
0,down,0.2,5,81,0.9012345679012346,0.24691358024691357,0.273972602739726,0.5925925925925926
0,down,0.2,10,77,0.948051948051948,0.37662337662337664,0.3972602739726027,0.6233766233766234
0,down,0.2,15,76,0.9473684210526315,0.4342105263157895,0.4583333333333333,0.618421052631579
0,down,0.2,20,74,0.9594594594594594,0.4864864864864865,0.5070422535211268,0.6351351351351351
0,down,0.3,5,81,0.8148148148148148,0.2222222222222222,0.2727272727272727,0.5925925925925926
0,down,0.3,10,77,0.8571428571428571,0.2727272727272727,0.3181818181818182,0.6233766233766234
0,down,0.3,15,76,0.8552631578947368,0.3026315789473684,0.35384615384615387,0.618421052631579
0,down,0.3,20,74,0.8648648648648649,0.32432432432432434,0.375,0.6351351351351351
0,down,0.4,5,81,0.7654320987654321,0.20987654320987653,0.27419354838709675,0.5925925925925926
0,down,0.4,10,77,0.8051948051948052,0.23376623376623376,0.2903225806451613,0.6233766233766234
0,down,0.4,15,76,0.8026315789473685,0.25,0.3114754098360656,0.618421052631579
0,down,0.4,20,74,0.8108108108108109,0.2702702702702703,0.3333333333333333,0.6351351351351351
0,up,0.2,5,81,0.8765432098765432,0.3950617283950617,0.4507042253521127,0.6296296296296297
0,up,0.2,10,77,0.8701298701298701,0.5064935064935064,0.582089552238806,0.6623376623376623
0,up,0.2,15,76,0.881578947368421,0.5394736842105263,0.6119402985074627,0.6710526315789473
0,up,0.2,20,74,0.8918918918918919,0.581081081081081,0.6515151515151515,0.6891891891891891
0,up,0.3,5,81,0.7530864197530864,0.3333333333333333,0.4426229508196721,0.6296296296296297
0,up,0.3,10,77,0.7532467532467533,0.42857142857142855,0.5689655172413793,0.6623376623376623
0,up,0.3,15,76,0.7631578947368421,0.4473684210526316,0.5862068965517241,0.6710526315789473
0,up,0.3,20,74,0.7837837837837838,0.47297297297297297,0.603448275862069,0.6891891891891891
0,up,0.4,5,81,0.6172839506172839,0.25925925925925924,0.42,0.6296296296296297
0,up,0.4,10,77,0.6233766233766234,0.3116883116883117,0.5,0.6623376623376623
0,up,0.4,15,76,0.631578947368421,0.3157894736842105,0.5,0.6710526315789473
0,up,0.4,20,74,0.6486486486486487,0.33783783783783783,0.5208333333333334,0.6891891891891891
1,down,0.2,5,78,0.9102564102564102,0.21794871794871795,0.23943661971830985,0.6025641025641025
1,down,0.2,10,78,0.9102564102564102,0.2564102564102564,0.28169014084507044,0.6025641025641025
1,down,0.2,15,76,0.9342105263157895,0.27631578947368424,0.29577464788732394,0.618421052631579
1,down,0.2,20,75,0.9466666666666667,0.28,0.29577464788732394,0.6133333333333333
1,down,0.3,5,78,0.8076923076923077,0.20512820512820512,0.25396825396825395,0.6025641025641025
1,down,0.3,10,78,0.8076923076923077,0.23076923076923078,0.2857142857142857,0.6025641025641025
1,down,0.3,15,76,0.8289473684210527,0.25,0.30158730158730157,0.618421052631579
1,down,0.3,20,75,0.84,0.25333333333333335,0.30158730158730157,0.6133333333333333
1,down,0.4,5,78,0.7307692307692307,0.16666666666666666,0.22807017543859648,0.6025641025641025
1,down,0.4,10,78,0.7307692307692307,0.1794871794871795,0.24561403508771928,0.6025641025641025
1,down,0.4,15,76,0.75,0.19736842105263158,0.2631578947368421,0.618421052631579
1,down,0.4,20,75,0.76,0.2,0.2631578947368421,0.6133333333333333
1,up,0.2,5,78,1.0,0.38461538461538464,0.38461538461538464,0.717948717948718
1,up,0.2,10,78,1.0,0.48717948717948717,0.48717948717948717,0.717948717948718
1,up,0.2,15,76,1.0,0.5526315789473685,0.5526315789473685,0.7368421052631579
1,up,0.2,20,75,1.0,0.5733333333333334,0.5733333333333334,0.7466666666666667
1,up,0.3,5,78,0.9871794871794872,0.358974358974359,0.36363636363636365,0.717948717948718
1,up,0.3,10,78,0.9871794871794872,0.44871794871794873,0.45454545454545453,0.717948717948718
1,up,0.3,15,76,0.9868421052631579,0.47368421052631576,0.48,0.7368421052631579
1,up,0.3,20,75,0.9866666666666667,0.49333333333333335,0.5,0.7466666666666667
1,up,0.4,5,78,0.9487179487179487,0.34615384615384615,0.36486486486486486,0.717948717948718
1,up,0.4,10,78,0.9487179487179487,0.4230769230769231,0.44594594594594594,0.717948717948718
1,up,0.4,15,76,0.9473684210526315,0.4473684210526316,0.4722222222222222,0.7368421052631579
1,up,0.4,20,75,0.9466666666666667,0.4533333333333333,0.4788732394366197,0.7466666666666667
2,down,0.2,5,68,0.9411764705882353,0.3382352941176471,0.359375,0.6911764705882353
2,down,0.2,10,67,0.9552238805970149,0.417910447761194,0.4375,0.7014925373134329
2,down,0.2,15,66,0.9696969696969697,0.42424242424242425,0.4375,0.7121212121212122
2,down,0.2,20,63,0.9682539682539683,0.4444444444444444,0.45901639344262296,0.746031746031746
2,down,0.3,5,68,0.8235294117647058,0.3382352941176471,0.4107142857142857,0.6911764705882353
2,down,0.3,10,67,0.835820895522388,0.373134328358209,0.44642857142857145,0.7014925373134329
2,down,0.3,15,66,0.8484848484848485,0.3787878787878788,0.44642857142857145,0.7121212121212122
2,down,0.3,20,63,0.8571428571428571,0.3968253968253968,0.46296296296296297,0.746031746031746
2,down,0.4,5,68,0.6911764705882353,0.27941176470588236,0.40425531914893614,0.6911764705882353
2,down,0.4,10,67,0.7014925373134329,0.2835820895522388,0.40425531914893614,0.7014925373134329
2,down,0.4,15,66,0.7121212121212122,0.2878787878787879,0.40425531914893614,0.7121212121212122
2,down,0.4,20,63,0.7142857142857143,0.30158730158730157,0.4222222222222222,0.746031746031746
2,up,0.2,5,68,0.9264705882352942,0.4852941176470588,0.5238095238095238,0.7058823529411765
2,up,0.2,10,67,0.9402985074626866,0.5970149253731343,0.6349206349206349,0.7164179104477612
2,up,0.2,15,66,0.9545454545454546,0.6515151515151515,0.6825396825396826,0.7272727272727273
2,up,0.2,20,63,0.9841269841269841,0.6825396825396826,0.6935483870967742,0.7619047619047619
2,up,0.3,5,68,0.8970588235294118,0.4852941176470588,0.5409836065573771,0.7058823529411765
2,up,0.3,10,67,0.9104477611940298,0.582089552238806,0.639344262295082,0.7164179104477612
2,up,0.3,15,66,0.9242424242424242,0.6212121212121212,0.6721311475409836,0.7272727272727273
2,up,0.3,20,63,0.9682539682539683,0.6507936507936508,0.6721311475409836,0.7619047619047619
2,up,0.4,5,68,0.8235294117647058,0.45588235294117646,0.5535714285714286,0.7058823529411765
2,up,0.4,10,67,0.835820895522388,0.5074626865671642,0.6071428571428571,0.7164179104477612
2,up,0.4,15,66,0.8484848484848485,0.5454545454545454,0.6428571428571429,0.7272727272727273
2,up,0.4,20,63,0.8888888888888888,0.5714285714285714,0.6428571428571429,0.7619047619047619
3,down,0.2,5,81,0.9259259259259259,0.19753086419753085,0.21333333333333335,0.5308641975308642
3,down,0.2,10,78,0.9230769230769231,0.3076923076923077,0.3333333333333333,0.5512820512820513
3,down,0.2,15,77,0.922077922077922,0.33766233766233766,0.36619718309859156,0.5584415584415584
3,down,0.2,20,74,0.9324324324324325,0.35135135135135137,0.37681159420289856,0.581081081081081
3,down,0.3,5,81,0.8641975308641975,0.1728395061728395,0.2,0.5308641975308642
3,down,0.3,10,78,0.8589743589743589,0.2692307692307692,0.31343283582089554,0.5512820512820513
3,down,0.3,15,77,0.8571428571428571,0.2857142857142857,0.3333333333333333,0.5584415584415584
3,down,0.3,20,74,0.8648648648648649,0.2972972972972973,0.34375,0.581081081081081
3,down,0.4,5,81,0.7654320987654321,0.14814814814814814,0.1935483870967742,0.5308641975308642
3,down,0.4,10,78,0.7692307692307693,0.21794871794871795,0.2833333333333333,0.5512820512820513
3,down,0.4,15,77,0.7662337662337663,0.22077922077922077,0.288135593220339,0.5584415584415584
3,down,0.4,20,74,0.7702702702702703,0.22972972972972974,0.2982456140350877,0.581081081081081
3,up,0.2,5,81,0.9012345679012346,0.32098765432098764,0.3561643835616438,0.691358024691358
3,up,0.2,10,78,0.9102564102564102,0.4230769230769231,0.4647887323943662,0.717948717948718
3,up,0.2,15,77,0.9090909090909091,0.5064935064935064,0.5571428571428572,0.7272727272727273
3,up,0.2,20,74,0.918918918918919,0.5540540540540541,0.6029411764705882,0.7432432432432432
3,up,0.3,5,81,0.8395061728395061,0.30864197530864196,0.36764705882352944,0.691358024691358
3,up,0.3,10,78,0.8461538461538461,0.3717948717948718,0.4393939393939394,0.717948717948718
3,up,0.3,15,77,0.8441558441558441,0.42857142857142855,0.5076923076923077,0.7272727272727273
3,up,0.3,20,74,0.8648648648648649,0.4594594594594595,0.53125,0.7432432432432432
3,up,0.4,5,81,0.7530864197530864,0.2839506172839506,0.3770491803278688,0.691358024691358
3,up,0.4,10,78,0.782051282051282,0.3333333333333333,0.4262295081967213,0.717948717948718
3,up,0.4,15,77,0.7792207792207793,0.38961038961038963,0.5,0.7272727272727273
3,up,0.4,20,74,0.7972972972972973,0.40540540540540543,0.5084745762711864,0.7432432432432432
4,down,0.2,5,65,0.9076923076923077,0.3230769230769231,0.3559322033898305,0.49230769230769234
4,down,0.2,10,61,0.9344262295081968,0.4098360655737705,0.43859649122807015,0.5245901639344263
4,down,0.2,15,58,0.9655172413793104,0.43103448275862066,0.44642857142857145,0.5344827586206896
4,down,0.2,20,53,1.0,0.4528301886792453,0.4528301886792453,0.5660377358490566
4,down,0.3,5,65,0.8307692307692308,0.3076923076923077,0.37037037037037035,0.49230769230769234
4,down,0.3,10,61,0.8852459016393442,0.39344262295081966,0.4444444444444444,0.5245901639344263
4,down,0.3,15,58,0.9137931034482759,0.39655172413793105,0.4339622641509434,0.5344827586206896
4,down,0.3,20,53,0.9433962264150944,0.41509433962264153,0.44,0.5660377358490566
4,down,0.4,5,65,0.7692307692307693,0.27692307692307694,0.36,0.49230769230769234
4,down,0.4,10,61,0.819672131147541,0.32786885245901637,0.4,0.5245901639344263
4,down,0.4,15,58,0.8448275862068966,0.3275862068965517,0.3877551020408163,0.5344827586206896
4,down,0.4,20,53,0.9056603773584906,0.3584905660377358,0.3958333333333333,0.5660377358490566
4,up,0.2,5,65,0.9230769230769231,0.35384615384615387,0.38333333333333336,0.5384615384615384
4,up,0.2,10,61,0.9180327868852459,0.4426229508196721,0.48214285714285715,0.5737704918032787
4,up,0.2,15,58,0.9137931034482759,0.5,0.5471698113207547,0.5862068965517241
4,up,0.2,20,53,0.9245283018867925,0.5471698113207547,0.5918367346938775,0.6415094339622641
4,up,0.3,5,65,0.9076923076923077,0.35384615384615387,0.3898305084745763,0.5384615384615384
4,up,0.3,10,61,0.9016393442622951,0.4426229508196721,0.4909090909090909,0.5737704918032787
4,up,0.3,15,58,0.896551724137931,0.5,0.5576923076923077,0.5862068965517241
4,up,0.3,20,53,0.9056603773584906,0.5471698113207547,0.6041666666666666,0.6415094339622641
4,up,0.4,5,65,0.8615384615384616,0.3384615384615385,0.39285714285714285,0.5384615384615384
4,up,0.4,10,61,0.8852459016393442,0.4098360655737705,0.46296296296296297,0.5737704918032787
4,up,0.4,15,58,0.8793103448275862,0.43103448275862066,0.49019607843137253,0.5862068965517241
4,up,0.4,20,53,0.9056603773584906,0.4716981132075472,0.5208333333333334,0.6415094339622641
